id,name,type,parentId,areaCode
112,冈比亚,1,0,-
113,马里,1,0,-
114,布基纳法索,1,0,-
115,几内亚,1,0,-
116,几内亚比绍,1,0,-
117,佛得角,1,0,-
118,塞拉利昂,1,0,-
119,利比里亚,1,0,-
120,科特迪瓦,1,0,-
121,加纳,1,0,-
122,多哥,1,0,-
123,贝宁,1,0,-
124,尼日尔,1,0,-
125,加那利群岛,1,0,-
126,赞比亚,1,0,-
127,安哥拉,1,0,-
128,津巴布韦,1,0,-
129,马拉维,1,0,-
130,莫桑比克,1,0,-
131,博茨瓦纳,1,0,-
132,纳米比亚,1,0,-
133,南非,1,0,-
134,斯威士兰,1,0,-
135,莱索托,1,0,-
136,马达加斯加,1,0,-
137,科摩罗,1,0,-
138,毛里求斯,1,0,-
139,留尼旺,1,0,-
140,圣赫勒拿,1,0,-
141,澳大利亚,1,0,-
142,新西兰,1,0,-
143,巴布亚新几内亚,1,0,-
144,所罗门群岛,1,0,-
145,瓦努阿图共和国,1,0,-
146,密克罗尼西亚,1,0,-
147,马绍尔群岛,1,0,-
148,帕劳,1,0,-
149,瑙鲁,1,0,-
150,基里巴斯,1,0,-
151,图瓦卢,1,0,-
152,萨摩亚,1,0,-
153,斐济,1,0,-
154,汤加,1,0,-
155,库克群岛,1,0,-
156,关岛,1,0,-
157,新喀里多尼亚,1,0,-
158,法属波利尼西亚,1,0,-
159,皮特凯恩岛,1,0,-
160,瓦利斯与富图纳,1,0,-
161,纽埃,1,0,-
162,托克劳,1,0,-
163,美属萨摩亚,1,0,-
164,北马里亚纳,1,0,-
165,加拿大,1,0,-
166,美国,1,0,-
167,墨西哥,1,0,-
168,格陵兰,1,0,-
169,危地马拉,1,0,-
170,伯利兹,1,0,-
171,萨尔瓦多,1,0,-
172,洪都拉斯,1,0,-
173,尼加拉瓜,1,0,-
174,哥斯达黎加,1,0,-
175,巴拿马,1,0,-
176,巴哈马,1,0,-
177,古巴,1,0,-
178,牙买加,1,0,-
179,海地,1,0,-
180,多米尼加共和国,1,0,-
181,安提瓜和巴布达,1,0,-
182,圣基茨和尼维斯,1,0,-
183,多米尼克,1,0,-
184,圣卢西亚,1,0,-
185,圣文森特和格林纳丁斯,1,0,-
186,格林纳达,1,0,-
187,巴巴多斯,1,0,-
188,特立尼达和多巴哥,1,0,-
189,波多黎各,1,0,-
190,英属维尔京群岛,1,0,-
191,美属维尔京群岛,1,0,-
192,安圭拉,1,0,-
193,蒙特塞拉特岛,1,0,-
194,瓜德罗普,1,0,-
195,马提尼克,1,0,-
196,荷属安的列斯,1,0,-
197,阿鲁巴,1,0,-
198,特克斯和凯科斯群岛,1,0,-
199,开曼群岛,1,0,-
200,百慕大,1,0,-
201,哥伦比亚,1,0,-
202,委内瑞拉,1,0,-
203,圭亚那,1,0,-
204,法属圭亚那,1,0,-
205,苏里南,1,0,-
206,厄瓜多尔,1,0,-
207,秘鲁,1,0,-
208,玻利维亚,1,0,-
209,巴西,1,0,-
210,智利,1,0,-
211,阿根廷,1,0,-
212,乌拉圭,1,0,-
213,巴拉圭,1,0,-
214,波黑,1,0,-
215,直布罗陀,1,0,-
216,新喀里多尼亚群岛,1,0,-
217,瓦利斯和富图纳群岛,1,0,-
218,泽西岛,1,0,-
219,黑山,1,0,-
220,英属马恩岛,1,0,-
221,尼日利亚,1,0,-
222,喀麦隆,1,0,-
223,加蓬,1,0,-
224,乍得,1,0,-
225,刚果共和国,1,0,-
226,中非共和国,1,0,-
227,南苏丹,1,0,-
228,赤道几内亚,1,0,-
229,毛里塔尼亚,1,0,-
230,刚果民主共和国,1,0,-
231,留尼汪岛,1,0,-
232,格陵兰岛,1,0,-
233,法罗群岛,1,0,-
234,根西岛,1,0,-
235,百慕大群岛,1,0,-
236,圣皮埃尔和密克隆群岛,1,0,-
237,法属圣马丁,1,0,-
238,奥兰群岛,1,0,-
239,北马里亚纳群岛,1,0,-
240,库拉索,1,0,-
241,博内尔岛,1,0,-
242,圣马丁岛,1,0,-
243,圣巴泰勒米岛,1,0,-
244,福克兰群岛,1,0,-
245,圣多美和普林西比,1,0,-
246,英属印度洋领地,1,0,-
247,东萨摩亚,1,0,-
248,诺福克岛,1,0,-
110000,北京,2,1,-
120000,天津,2,1,-
130000,河北省,2,1,-
140000,山西省,2,1,-
150000,内蒙古自治区,2,1,-
210000,辽宁省,2,1,-
220000,吉林省,2,1,-
230000,黑龙江省,2,1,-
310000,上海,2,1,-
320000,江苏省,2,1,-
330000,浙江省,2,1,-
340000,安徽省,2,1,-
350000,福建省,2,1,-
360000,江西省,2,1,-
370000,山东省,2,1,-
410000,河南省,2,1,-
420000,湖北省,2,1,-
430000,湖南省,2,1,-
440000,广东省,2,1,-
450000,广西壮族自治区,2,1,-
460000,海南省,2,1,-
500000,重庆,2,1,-
510000,四川省,2,1,-
520000,贵州省,2,1,-
530000,云南省,2,1,-
540000,西藏自治区,2,1,-
610000,陕西省,2,1,-
620000,甘肃省,2,1,-
630000,青海省,2,1,-
640000,宁夏回族自治区,2,1,-
650000,新疆维吾尔自治区,2,1,-
110100,北京市,3,110000,0010
120100,天津市,3,120000,0022
130100,石家庄市,3,130000,0311
130200,唐山市,3,130000,0315
130300,秦皇岛市,3,130000,0335
130400,邯郸市,3,130000,0310
130500,邢台市,3,130000,0319
130600,保定市,3,130000,0312
130700,张家口市,3,130000,0313
130800,承德市,3,130000,0314
130900,沧州市,3,130000,0317
131000,廊坊市,3,130000,0316
131100,衡水市,3,130000,0318
140100,太原市,3,140000,0351
140200,大同市,3,140000,0352
140300,阳泉市,3,140000,0353
140400,长治市,3,140000,0355
140500,晋城市,3,140000,0356
140600,朔州市,3,140000,0349
140700,晋中市,3,140000,0354
140800,运城市,3,140000,0359
140900,忻州市,3,140000,0350
141000,临汾市,3,140000,0357
141100,吕梁市,3,140000,0358
150100,呼和浩特市,3,150000,0471
150200,包头市,3,150000,0472
150300,乌海市,3,150000,0473
150400,赤峰市,3,150000,0476
150500,通辽市,3,150000,0475
150600,鄂尔多斯市,3,150000,0477
150700,呼伦贝尔市,3,150000,0470
150800,巴彦淖尔市,3,150000,0478
150900,乌兰察布市,3,150000,0474
152200,兴安盟,3,150000,0482
152500,锡林郭勒盟,3,150000,0479
152900,阿拉善盟,3,150000,0483
210100,沈阳市,3,210000,024
210200,大连市,3,210000,0411
210300,鞍山市,3,210000,0412
210400,抚顺市,3,210000,0413
210500,本溪市,3,210000,0414
210600,丹东市,3,210000,0415
210700,锦州市,3,210000,0416
210800,营口市,3,210000,0417
210900,阜新市,3,210000,0418
211000,辽阳市,3,210000,0419
211100,盘锦市,3,210000,0427
211200,铁岭市,3,210000,0410
211300,朝阳市,3,210000,0421
211400,葫芦岛市,3,210000,0429
220100,长春市,3,220000,0431
220200,吉林市,3,220000,0432
220300,四平市,3,220000,0434
220400,辽源市,3,220000,0437
220500,通化市,3,220000,0435
220600,白山市,3,220000,0439
220700,松原市,3,220000,0438
220800,白城市,3,220000,0436
222400,延边朝鲜族自治州,3,220000,0433
230100,哈尔滨市,3,230000,0451
230200,齐齐哈尔市,3,230000,0452
230300,鸡西市,3,230000,0467
230400,鹤岗市,3,230000,0468
230500,双鸭山市,3,230000,0469
230600,大庆市,3,230000,0459
230700,伊春市,3,230000,0458
230800,佳木斯市,3,230000,0454
230900,七台河市,3,230000,0464
231000,牡丹江市,3,230000,0453
231100,黑河市,3,230000,0456
231200,绥化市,3,230000,0455
232700,大兴安岭地区,3,230000,0457
310100,上海市,3,310000,021
320100,南京市,3,320000,025
320200,无锡市,3,320000,0510
320300,徐州市,3,320000,0516
320400,常州市,3,320000,0519
320500,苏州市,3,320000,0512
320600,南通市,3,320000,0513
320700,连云港市,3,320000,0518
320800,淮安市,3,320000,0517
320900,盐城市,3,320000,0515
321000,扬州市,3,320000,0514
321100,镇江市,3,320000,0511
321200,泰州市,3,320000,0523
321300,宿迁市,3,320000,0527
330100,杭州市,3,330000,0571
330200,宁波市,3,330000,0574
330300,温州市,3,330000,0577
330400,嘉兴市,3,330000,0573
330500,湖州市,3,330000,0572
330600,绍兴市,3,330000,0575
330700,金华市,3,330000,0579
330800,衢州市,3,330000,0570
330900,舟山市,3,330000,0580
331000,台州市,3,330000,0576
331100,丽水市,3,330000,0578
340100,合肥市,3,340000,0551
340200,芜湖市,3,340000,0553
340300,蚌埠市,3,340000,0552
340400,淮南市,3,340000,0554
340500,马鞍山市,3,340000,0555
340600,淮北市,3,340000,0561
340700,铜陵市,3,340000,0562
340800,安庆市,3,340000,0556
341000,黄山市,3,340000,0559
341100,滁州市,3,340000,0550
341200,阜阳市,3,340000,0558
341300,宿州市,3,340000,0557
341500,六安市,3,340000,0564
341600,亳州市,3,340000,0558
341700,池州市,3,340000,0566
341800,宣城市,3,340000,0563
350100,福州市,3,350000,0591
350200,厦门市,3,350000,0592
350300,莆田市,3,350000,0594
350400,三明市,3,350000,0598
350500,泉州市,3,350000,0595
350600,漳州市,3,350000,0596
350700,南平市,3,350000,0599
350800,龙岩市,3,350000,0597
350900,宁德市,3,350000,0593
360100,南昌市,3,360000,0791
360200,景德镇市,3,360000,0798
360300,萍乡市,3,360000,0799
360400,九江市,3,360000,0792
360500,新余市,3,360000,0790
360600,鹰潭市,3,360000,0701
360700,赣州市,3,360000,0797
360800,吉安市,3,360000,0796
360900,宜春市,3,360000,0795
361000,抚州市,3,360000,0794
361100,上饶市,3,360000,0793
370100,济南市,3,370000,0531
370200,青岛市,3,370000,0532
370300,淄博市,3,370000,0533
370400,枣庄市,3,370000,0632
370500,东营市,3,370000,0546
370600,烟台市,3,370000,0535
370700,潍坊市,3,370000,0536
370800,济宁市,3,370000,0537
370900,泰安市,3,370000,0538
371000,威海市,3,370000,0631
371100,日照市,3,370000,0633
371300,临沂市,3,370000,0539
371400,德州市,3,370000,0534
371500,聊城市,3,370000,0635
371600,滨州市,3,370000,0543
371700,菏泽市,3,370000,0530
410100,郑州市,3,410000,0371
410200,开封市,3,410000,0378
410300,洛阳市,3,410000,0379
410400,平顶山市,3,410000,0375
410500,安阳市,3,410000,0372
410600,鹤壁市,3,410000,0392
410700,新乡市,3,410000,0373
410800,焦作市,3,410000,0391
410900,濮阳市,3,410000,0393
